timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes
1768176846749923,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141447,131180,5765,5862,0,0,0,0,686,0,5,15,17,330,0,0,0,0,0,5,255
1768176846759096,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141447,131180,5765,5862,0,0,0,0,687,0,5,15,17,330,0,0,0,0,0,5,255
1768176846770017,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141447,131180,5765,5862,0,0,0,0,688,1,5,15,17,330,0,0,0,0,0,5,255
1768176846779426,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141447,131180,5765,5862,0,0,0,0,689,1,5,15,17,330,0,0,0,0,0,5,255
1768176846789260,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141447,131180,5765,5862,0,0,0,0,690,1,5,15,17,330,0,0,0,0,0,5,255
1768176846799575,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141570,131296,5770,5867,0,0,0,0,691,3,5,15,17,330,0,0,0,0,0,5,255
1768176846809819,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141570,131296,5770,5867,0,0,0,0,692,2,5,15,17,330,0,0,0,0,0,5,255
1768176846819221,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141570,131296,5770,5867,0,0,0,0,693,2,5,15,17,330,0,0,0,0,0,5,255
1768176846829500,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141570,131296,5770,5867,0,0,0,0,694,2,5,15,17,330,0,0,0,0,0,5,255
1768176846839511,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141570,131296,5770,5867,0,0,0,0,695,0,5,15,17,330,0,0,0,0,0,5,255
1768176846849199,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141570,131296,5770,5867,0,0,0,0,696,0,5,15,17,330,0,0,0,0,0,5,255
1768176846859094,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141570,131296,5770,5867,0,0,0,0,696,19,5,15,17,330,0,0,0,0,0,5,255
1768176846869327,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141570,131296,5770,5867,0,0,0,0,697,18,5,15,17,330,0,0,0,0,0,5,255
1768176846879691,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141570,131296,5770,5867,0,0,0,0,698,17,5,15,17,330,0,0,0,0,0,5,255
1768176846889432,10110,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,141570,131296,5770,5867,0,0,0,0,699,17,5,15,17,330,0,0,0,0,0,5,255
